time,x,y,z
3.012,0.00,-0.00,0.01
3.013,0.01,-0.00,-0.01
3.017,0.00,0.01,-0.01
3.018,-0.01,-0.01,0.01
3.032,-0.00,0.01,-0.00
3.033,-0.02,0.01,0.01
3.035,-0.01,0.01,0.01
3.036,-0.00,0.04,-0.00
3.038,0.01,0.01,0.01
3.039,0.00,-0.02,-0.01
3.041,-0.03,-0.02,-0.01
3.042,-0.01,-0.04,-0.00
3.043,0.01,-0.05,-0.01
3.043,0.01,-0.07,0.01
3.045,0.03,-0.06,-0.01
3.058,0.01,-0.06,-0.03
3.060,0.04,-0.01,-0.03
3.061,0.05,0.04,-0.02
3.062,0.06,0.04,-0.04
3.068,0.06,0.10,-0.03
3.125,0.08,0.06,-0.03
3.128,0.06,-0.03,-0.03
3.130,0.04,-0.08,-0.04
3.131,-0.00,-0.07,-0.02
3.132,0.01,-0.06,-0.01
3.139,0.02,-0.01,-0.00
3.140,0.00,0.02,-0.00
3.140,0.01,0.04,0.01
3.141,-0.03,0.07,0.01
3.142,-0.06,0.06,0.01
3.142,-0.09,0.09,0.03
3.143,-0.11,0.10,0.01
3.144,-0.09,0.14,0.02
3.145,-0.07,0.17,0.02
3.145,-0.03,0.16,0.02
3.146,-0.04,0.16,0.02
3.147,-0.16,0.10,0.01
3.148,-0.05,0.08,-0.00
3.148,0.07,0.09,-0.00
3.154,-0.02,0.03,-0.00
3.157,-0.02,-0.03,0.01
3.161,0.06,-0.06,0.02
3.166,0.04,-0.04,0.03
3.185,0.06,-0.02,0.04
3.186,0.06,0.00,0.04
3.187,0.03,0.03,0.05
3.188,0.07,0.12,0.04
3.189,0.13,0.17,0.04
3.195,0.17,0.11,0.06
3.197,0.09,0.06,0.06
3.202,0.06,0.07,0.04
3.213,0.10,0.04,0.04
3.214,0.13,0.03,0.04
3.216,0.07,0.01,0.04
3.219,0.03,0.03,0.02
3.235,-0.01,0.05,0.00
3.239,0.03,0.09,0.02
3.240,0.06,0.04,0.03
3.241,-0.03,-0.03,0.01
3.242,-0.09,-0.08,0.00
3.247,-0.06,-0.17,-0.01
3.252,-0.02,-0.21,-0.03
3.273,-0.02,-0.21,-0.03
3.274,-0.05,-0.15,-0.04
3.275,0.02,-0.18,-0.04
3.276,0.02,-0.17,-0.03
3.278,-0.06,-0.14,-0.05
3.279,-0.11,-0.07,-0.06
3.280,-0.02,0.02,-0.06
3.286,0.03,0.07,-0.08
3.293,0.03,0.10,-0.08
3.295,0.01,0.11,-0.09
3.298,0.00,0.07,-0.10
3.303,-0.00,0.08,-0.12
3.317,0.03,0.08,-0.12
3.318,0.04,0.05,-0.13
3.320,0.05,-0.02,-0.13
3.321,0.00,-0.05,-0.13
3.335,-0.00,-0.03,-0.15
3.339,0.01,0.00,-0.16
3.340,0.01,0.04,-0.16
3.341,0.03,0.06,-0.15
3.343,0.05,0.07,-0.17
3.348,0.02,0.06,-0.16
3.353,-0.04,0.09,-0.16
3.375,-0.00,0.08,-0.17
3.376,-0.01,0.05,-0.15
3.378,-0.01,0.03,-0.14
3.378,-0.03,0.02,-0.14
3.379,-0.03,0.01,-0.14
3.380,-0.01,0.01,-0.14
3.384,0.00,-0.01,-0.14
3.387,0.00,0.01,-0.13
3.395,0.00,-0.01,-0.11
3.396,-0.02,-0.02,-0.12
3.401,-0.06,0.00,-0.12
3.404,-0.03,0.00,-0.11
3.413,0.02,0.03,-0.09
3.415,0.02,0.03,-0.10
3.422,-0.02,0.02,-0.10
3.423,-0.05,0.03,-0.10
3.434,-0.02,0.00,-0.12
3.438,0.02,0.01,-0.13
3.441,0.00,-0.01,-0.12
3.442,-0.01,-0.04,-0.12
3.447,0.01,-0.04,-0.12
3.448,-0.00,-0.04,-0.13
3.455,0.01,-0.02,-0.12
3.465,0.02,0.01,-0.14
3.466,0.01,-0.00,-0.14
